Category,Element,Residential Count,Business Count,Mixed Count,Residential Energy Consumption (kWh),Business Energy Consumption (kWh),No Controlled Load Count,Tariff 9000 Count,Tariff 9100 Count,Tariff 9000 and 9100 Count,Unit Count,Solar PV Count,Solar PV Installed Capacity,Count of Pools,Property Age <1980,Property Age 1980 to 1989,Property Age 1990 to 1999,Property Age >2000,Residential Quintile - Lowest,Residential Quintile - Low,Residential Quintile - Medium,Residential Quintile - High,Residential Quintile - Highest,Business Quintile - Lowest,Business Quintile - Low,Business Quintile - Medium,Business Quintile - High,Business Quintile - Highest
Postcode,4216,15354,1100,4,91855850.32,118366235.1,8428,1646,4541,177,8325,4218,17399.815,3994,3384,4333,4949,3792,2808,3343,3227,2985,2995,224,289,212,173,206
Postcode,4217,19348,2369,11,119925306,364541665.2,15137,1214,2503,163,14446,2466,12532.4,4104,8269,5101,3814,4541,4430,4374,3605,2991,3959,545,444,453,403,535
Postcode,4218,16514,1105,10,97848938.82,201911250.1,11950,995,3142,149,9401,3034,13899.38,4394,6856,5168,2316,3288,3625,3609,3153,2664,3473,217,231,184,225,258
Postcode,4220,14249,3391,9,75348636.69,123823932.6,8314,1763,3542,192,9615,3433,17956.16,2979,5289,3858,4487,4012,2825,3414,3112,2651,2256,746,893,794,554,413
Postcode,4221,12468,543,6,65565185.01,42212365.3,6817,1950,3093,168,5663,3456,13685.68,2611,3472,3955,2997,2593,2591,2743,2565,2487,2088,90,129,121,101,108
Postcode,4223,6167,782,6,35626864.81,25650679.24,2959,1275,1546,128,2460,2113,9080.3,1423,1219,2455,1835,1446,1076,1321,1277,1256,1243,173,253,167,117,78
Postcode,4224,3370,208,1,16335517.81,22595305.51,2106,405,746,27,1965,590,2511.77,339,1057,874,799,849,796,875,763,549,388,28,61,51,30,39
Postcode,4225,4773,475,9,19806651.91,117305223.2,3725,215,802,1,3934,274,1350.97,180,1678,905,1088,1586,1691,1498,802,456,335,75,136,78,91,104
Postcode,4226,13787,956,1,89741714.46,160109545.3,5316,2673,4722,316,5674,3905,16338.61,4065,103,2294,5975,6371,1548,2455,2943,3267,3575,136,143,202,234,242
Postcode,4227,8451,607,1,51154268.93,36584387.72,4367,1009,2619,66,4135,2369,9889.63,1535,230,493,2826,5507,915,1608,1974,2132,1823,114,106,139,133,116
Postcode,4228,1791,77,4,15060444.81,4395666.853,808,441,417,60,118,862,4151.16,789,190,625,573,484,139,167,262,403,824,21,11,14,19,16
Postcode,4270,1446,64,7,11368444.4,2083351.678,855,242,301,12,29,758,3727.056,357,147,367,465,538,119,177,218,359,580,22,11,13,10,15
Postcode,4272,3482,441,32,20438004.78,10124708.06,1483,848,1073,24,390,1303,5424.92,237,704,1126,997,1127,596,646,750,801,721,131,103,107,84,48
Postcode,4275,1346,203,10,9661512.65,12902691.85,760,225,305,16,77,602,3133,249,217,314,393,635,196,168,241,324,427,62,41,42,35,33
Postcode,4280,6439,437,24,47711704.26,21509190.92,3570,889,1655,56,331,3374,16296.97,1542,576,1211,1571,3542,690,784,1064,1478,2447,113,84,92,95,77
Postcode,4285,8246,1292,50,53759224.02,67844817.67,3799,1355,2824,84,1098,3318,15424.199,1137,2126,1485,1951,4025,1292,1329,1549,1875,2251,367,250,212,254,259
Postcode,4287,344,151,9,2014719.338,3250239.518,169,54,129,0,7,111,628.65,12,247,62,81,114,107,61,47,70,68,55,29,30,24,22
Postcode,4300,23054,1141,2,131038152.9,292328646.5,14569,2272,5110,65,2633,7595,35045.585,2080,3191,2109,2624,16273,3984,4447,4799,5023,4803,216,160,193,214,360
Postcode,4301,11968,339,7,68426538.86,53331692.48,7486,979,2912,30,1983,3290,13239.07,778,1065,1712,1957,7580,1897,2160,2619,2858,2441,60,63,66,56,101
Postcode,4303,1522,126,2,8894670.06,77302869.34,827,118,515,1,104,364,1326.66,67,1186,109,159,196,306,336,321,286,275,18,33,24,22,31
Postcode,4304,7788,532,15,42258247.81,80531099.31,3181,674,3505,16,1645,2077,9063.155,434,4213,1053,858,2211,1466,1609,1712,1594,1422,100,129,88,100,130
Postcode,4305,26566,2112,23,149834342.8,204791221.4,12314,2987,9725,113,5191,7717,31446.86,2246,12677,2342,4289,9390,4794,5194,5440,5637,5524,421,434,410,423,447
Postcode,4306,14398,785,33,92308121.27,196639676.3,8216,2103,3336,171,729,6501,29973.66,2667,1550,3129,2818,7717,2364,2136,2618,3187,4126,229,146,119,144,180
Postcode,4307,591,252,12,4404087.834,6438873.395,232,108,253,1,15,268,1306.47,47,344,139,155,216,82,84,108,139,190,90,40,37,39,58
Postcode,4309,1311,422,30,8263372.468,20752483.16,544,280,481,8,28,518,2305.25,47,635,305,311,512,252,233,256,294,306,126,57,65,83,121
Postcode,4310,2547,487,23,14190476.36,19885212.25,835,534,1125,9,182,1106,4533.36,98,1313,360,424,960,539,516,525,492,498,151,112,77,97,73
Postcode,4311,4030,691,53,27771834.59,39980104.31,1990,502,1501,5,179,1796,8072.97,340,1036,1082,1045,1610,571,615,775,915,1207,224,116,106,166,132
Postcode,4312,1367,220,9,7275968.25,16177380.55,631,167,523,2,63,639,7251.87,77,413,259,434,490,378,258,231,267,242,56,58,39,43,33
Postcode,4313,1152,324,39,6147969.703,5972821.06,488,171,509,7,60,482,2212.69,61,576,289,317,333,328,227,225,200,211,130,72,51,69,41
Postcode,4314,342,138,20,1842781.15,3278579.667,185,41,135,0,2,129,580.96,10,196,75,87,142,120,64,61,60,57,57,29,24,34,14
Postcode,4340,2351,357,25,14117195.36,11039543.18,1061,325,907,5,281,878,3848.74,133,1019,396,481,837,433,443,436,502,562,119,79,62,66,56
Postcode,4341,6174,635,40,38458005.33,27939382.82,3009,941,2040,21,273,2881,12875.88,543,1125,744,1875,3105,918,1095,1256,1379,1566,162,118,117,155,123
Postcode,4342,1026,372,30,7066941.268,11101795.21,369,177,485,3,25,460,2190.12,99,537,258,320,313,168,162,181,233,312,116,43,50,96,97
Postcode,4343,4506,1163,99,27781376.01,72317488.59,1487,739,2227,27,657,1590,11940.89,289,2063,900,980,1825,753,865,894,1003,1090,300,196,196,290,280
Postcode,4344,981,242,24,6512020.549,9012629.523,448,146,377,4,32,410,2180.6,67,350,252,295,350,150,143,201,239,272,93,42,42,45,44
Postcode,4346,443,44,3,2580337.377,1249506.573,210,57,158,3,17,198,979.53,30,194,77,78,141,91,66,90,89,110,11,12,10,4,10
Postcode,4347,525,206,13,3426356.556,25582287.78,247,69,202,2,5,250,1267.08,33,257,106,128,253,101,104,89,110,134,72,31,24,49,43
Postcode,4352,1514,142,15,10410844.14,4879591.136,718,271,469,3,39,711,3289.18,193,260,422,398,591,192,183,295,391,468,43,36,22,33,23
Postcode,4500,15951,2434,10,96274905.08,192063497.5,7406,2246,4692,139,3449,6432,30836.435,3277,4248,2549,3308,8289,2232,2870,3452,3727,3680,487,522,571,496,368
Postcode,4501,2610,492,3,13570032.49,16309475.31,879,341,1215,4,1106,766,3234.93,303,980,835,526,764,485,596,577,547,408,108,129,100,86,72
Postcode,4502,3316,148,1,20034195.77,13643066.8,863,635,1232,51,428,1352,5800.605,823,743,1169,743,810,406,606,715,816,774,30,25,35,28,31
Postcode,4503,18384,573,13,98623100.31,48609473.37,11012,1756,4089,112,4606,5675,23740.84,2322,2781,1590,3517,11080,3710,4105,3852,3639,3091,127,104,114,108,133
Postcode,4504,6694,506,7,43146225.39,49252139.76,3503,1036,1614,89,424,3200,15624.77,1746,306,572,1628,4700,731,1046,1416,1666,1842,79,92,99,108,135
